x,y,z
428835.04,3984274.87,-658.82
428824.66,3984236.56,-628.41
428814.28,3984198.25,-598.00
428803.91,3984159.94,-567.60
428850.39,3984301.84,-619.61
428840.01,3984263.53,-589.20
428829.63,3984225.22,-558.80
428819.25,3984186.91,-528.39
428865.73,3984328.81,-580.40
428855.35,3984290.50,-549.99
428844.98,3984252.19,-519.59
428834.60,3984213.88,-489.18
428881.08,3984355.77,-541.19
428870.70,3984317.46,-510.79
428860.32,3984279.15,-480.38
428849.94,3984240.84,-449.97
428896.42,3984382.74,-501.98
428886.04,3984344.43,-471.58
428875.67,3984306.12,-441.17
428865.29,3984267.81,-410.76
428911.77,3984409.70,-462.78
428901.39,3984371.39,-432.37
428891.01,3984333.08,-401.96
428880.64,3984294.77,-371.55
428927.11,3984436.67,-423.57
428916.74,3984398.36,-393.16
428906.36,3984360.05,-362.75
428895.98,3984321.74,-332.34
428942.46,3984463.63,-384.36
428932.08,3984425.32,-353.95
428921.70,3984387.01,-323.54
428911.33,3984348.70,-293.13
428957.80,3984490.60,-345.15
428947.43,3984452.29,-314.74
428937.05,3984413.98,-284.33
428926.67,3984375.67,-253.92
428973.15,3984517.56,-305.94
428962.77,3984479.25,-275.53
428952.40,3984440.94,-245.12
428942.02,3984402.64,-214.71
