x,y,z
428043.00,3985671.62,-411.36
427996.27,3985655.18,-418.16
427949.54,3985638.74,-424.95
427902.81,3985622.30,-431.74
427856.08,3985605.86,-438.54
427809.35,3985589.42,-445.33
427762.63,3985572.98,-452.12
427715.90,3985556.54,-458.91
427669.17,3985540.10,-465.71
427622.44,3985523.66,-472.50
428060.78,3985627.80,-427.62
428014.05,3985611.36,-434.41
427967.32,3985594.92,-441.20
427920.59,3985578.49,-448.00
427873.86,3985562.05,-454.79
427827.13,3985545.61,-461.58
427780.40,3985529.17,-468.37
427733.67,3985512.73,-475.17
427686.94,3985496.29,-481.96
427640.22,3985479.85,-488.75
428078.55,3985583.99,-443.87
428031.82,3985567.55,-450.66
427985.10,3985551.11,-457.46
427938.37,3985534.67,-464.25
427891.64,3985518.23,-471.04
427844.91,3985501.79,-477.84
427798.18,3985485.35,-484.63
427751.45,3985468.91,-491.42
427704.72,3985452.47,-498.21
427657.99,3985436.03,-505.01
428096.33,3985540.17,-460.12
428049.60,3985523.73,-466.92
428002.87,3985507.29,-473.71
427956.14,3985490.85,-480.50
427909.42,3985474.42,-487.30
427862.69,3985457.98,-494.09
427815.96,3985441.54,-500.88
427769.23,3985425.10,-507.67
427722.50,3985408.66,-514.47
427675.77,3985392.22,-521.26
428114.11,3985496.36,-476.38
428067.38,3985479.92,-483.17
428020.65,3985463.48,-489.96
427973.92,3985447.04,-496.76
427927.19,3985430.60,-503.55
427880.46,3985414.16,-510.34
427833.73,3985397.72,-517.14
427787.01,3985381.28,-523.93
427740.28,3985364.84,-530.72
427693.55,3985348.40,-537.51
428131.89,3985452.54,-492.63
428085.16,3985436.10,-499.42
428038.43,3985419.66,-506.22
427991.70,3985403.22,-513.01
427944.97,3985386.78,-519.80
427898.24,3985370.34,-526.60
427851.51,3985353.91,-533.39
427804.78,3985337.47,-540.18
427758.05,3985321.03,-546.98
427711.32,3985304.59,-553.77
428149.66,3985408.73,-508.88
428102.93,3985392.29,-515.68
428056.20,3985375.85,-522.47
428009.48,3985359.41,-529.26
427962.75,3985342.97,-536.06
427916.02,3985326.53,-542.85
427869.29,3985310.09,-549.64
427822.56,3985293.65,-556.44
427775.83,3985277.21,-563.23
427729.10,3985260.77,-570.02
428167.44,3985364.91,-525.14
428120.71,3985348.47,-531.93
428073.98,3985332.03,-538.72
428027.25,3985315.59,-545.52
427980.52,3985299.15,-552.31
427933.79,3985282.71,-559.10
427887.07,3985266.27,-565.90
427840.34,3985249.84,-572.69
427793.61,3985233.40,-579.48
427746.88,3985216.96,-586.28
428185.22,3985321.10,-541.39
428138.49,3985304.66,-548.18
428091.76,3985288.22,-554.98
428045.03,3985271.78,-561.77
427998.30,3985255.34,-568.56
427951.57,3985238.90,-575.36
427904.84,3985222.46,-582.15
427858.11,3985206.02,-588.94
427811.39,3985189.58,-595.74
427764.66,3985173.14,-602.53
428202.99,3985277.28,-557.64
428156.27,3985260.84,-564.44
428109.54,3985244.40,-571.23
428062.81,3985227.96,-578.02
428016.08,3985211.52,-584.82
427969.35,3985195.08,-591.61
427922.62,3985178.64,-598.40
427875.89,3985162.20,-605.20
427829.16,3985145.76,-611.99
427782.43,3985129.33,-618.78
428220.77,3985233.46,-573.90
428174.04,3985217.03,-580.69
428127.31,3985200.59,-587.48
428080.58,3985184.15,-594.28
428033.86,3985167.71,-601.07
427987.13,3985151.27,-607.86
427940.40,3985134.83,-614.66
427893.67,3985118.39,-621.45
427846.94,3985101.95,-628.24
427800.21,3985085.51,-635.04
428238.55,3985189.65,-590.15
428191.82,3985173.21,-596.94
428145.09,3985156.77,-603.74
428098.36,3985140.33,-610.53
428051.63,3985123.89,-617.32
428004.90,3985107.45,-624.12
427958.17,3985091.01,-630.91
427911.45,3985074.57,-637.70
427864.72,3985058.13,-644.50
427817.99,3985041.69,-651.29
428256.33,3985145.83,-606.41
428209.60,3985129.39,-613.20
428162.87,3985112.95,-619.99
428116.14,3985096.52,-626.78
428069.41,3985080.08,-633.58
428022.68,3985063.64,-640.37
427975.95,3985047.20,-647.16
427929.22,3985030.76,-653.96
427882.49,3985014.32,-660.75
427835.76,3984997.88,-667.54
428274.10,3985102.02,-622.66
428227.37,3985085.58,-629.45
428180.65,3985069.14,-636.25
428133.92,3985052.70,-643.04
428087.19,3985036.26,-649.83
428040.46,3985019.82,-656.62
427993.73,3985003.38,-663.42
427947.00,3984986.94,-670.21
427900.27,3984970.50,-677.00
427853.54,3984954.06,-683.80
428291.88,3985058.20,-638.91
428245.15,3985041.76,-645.71
428198.42,3985025.32,-652.50
