x,y,z
428334.90,3985010.40,-955.45
428306.28,3984986.49,-988.75
428277.66,3984962.59,-1022.06
428344.02,3984967.09,-932.20
428315.40,3984943.18,-965.50
428286.78,3984919.27,-998.81
428353.14,3984923.77,-908.94
428324.52,3984899.87,-942.25
428295.90,3984875.96,-975.55
428362.26,3984880.46,-885.69
428333.64,3984856.55,-919.00
428305.02,3984832.64,-952.30
428371.38,3984837.14,-862.44
428342.76,3984813.24,-895.74
428314.14,3984789.33,-929.05
428380.50,3984793.83,-839.18
428351.88,3984769.92,-872.49
428323.26,3984746.02,-905.80
428389.62,3984750.51,-815.93
428361.00,3984726.61,-849.24
428332.38,3984702.70,-882.54
428398.74,3984707.20,-792.68
428370.12,3984683.29,-825.99
428341.50,3984659.39,-859.29
428407.86,3984663.89,-769.43
428379.24,3984639.98,-802.73
428350.62,3984616.07,-836.04
428416.98,3984620.57,-746.17
428388.36,3984596.66,-779.48
428359.74,3984572.76,-812.79
428426.10,3984577.26,-722.92
428397.48,3984553.35,-756.23
428368.86,3984529.44,-789.53
