x,y,z
428504.03,3984735.95,-901.45
428472.68,3984715.03,-934.31
428541.63,3984708.70,-919.97
428510.29,3984687.77,-952.83
428579.24,3984681.44,-938.49
428547.89,3984660.52,-971.35
428616.84,3984654.18,-957.01
428585.49,3984633.26,-989.87
428654.44,3984626.93,-975.53
428623.10,3984606.00,-1008.39
428692.05,3984599.67,-994.05
428660.70,3984578.75,-1026.91
428729.65,3984572.41,-1012.57
428698.30,3984551.49,-1045.43
428767.26,3984545.15,-1031.10
428735.91,3984524.23,-1063.95
428804.86,3984517.90,-1049.62
428773.51,3984496.98,-1082.47
428842.46,3984490.64,-1068.14
428811.12,3984469.72,-1101.00
428880.07,3984463.38,-1086.66
428848.72,3984442.46,-1119.52
428917.67,3984436.13,-1105.18
428886.32,3984415.21,-1138.04
428955.27,3984408.87,-1123.70
428923.93,3984387.95,-1156.56
428992.88,3984381.61,-1142.22
428961.53,3984360.69,-1175.08
