x,y,z
428988.75,3984073.00,-925.88
428951.76,3984039.55,-929.57
428989.32,3984077.85,-975.64
428952.34,3984044.40,-979.33
428989.89,3984082.71,-1025.40
428952.91,3984049.26,-1029.09
428990.46,3984087.56,-1075.17
428953.48,3984054.11,-1078.85
428991.04,3984092.42,-1124.93
428954.06,3984058.97,-1128.61
428991.61,3984097.27,-1174.69
428954.63,3984063.82,-1178.38
428992.18,3984102.12,-1224.45
428955.20,3984068.68,-1228.14
428992.76,3984106.98,-1274.21
428955.77,3984073.53,-1277.90
428993.33,3984111.83,-1323.97
428956.35,3984078.39,-1327.66
428993.90,3984116.69,-1373.73
428956.92,3984083.24,-1377.42
