x,y,z
428615.92,3985099.84,-339.12
428611.32,3985076.16,-382.92
428606.71,3985052.48,-426.72
428602.11,3985028.80,-470.51
428597.50,3985005.13,-514.31
428592.90,3984981.45,-558.11
428588.29,3984957.77,-601.90
428583.68,3984934.09,-645.70
428579.08,3984910.41,-689.50
428574.47,3984886.74,-733.29
428569.87,3984863.06,-777.09
428565.26,3984839.38,-820.89
428560.66,3984815.70,-864.68
428556.05,3984792.02,-908.48
428551.45,3984768.35,-952.28
428640.47,3985060.49,-320.43
428635.86,3985036.81,-364.23
428631.26,3985013.13,-408.02
428626.65,3984989.46,-451.82
428622.05,3984965.78,-495.62
428617.44,3984942.10,-539.42
428612.84,3984918.42,-583.21
428608.23,3984894.75,-627.01
428603.63,3984871.07,-670.81
428599.02,3984847.39,-714.60
428594.42,3984823.71,-758.40
428589.81,3984800.03,-802.20
428585.21,3984776.36,-845.99
428580.60,3984752.68,-889.79
428575.99,3984729.00,-933.59
428665.02,3985021.14,-301.74
428660.41,3984997.47,-345.54
428655.81,3984973.79,-389.33
428651.20,3984950.11,-433.13
428646.59,3984926.43,-476.93
428641.99,3984902.76,-520.72
428637.38,3984879.08,-564.52
428632.78,3984855.40,-608.32
428628.17,3984831.72,-652.11
428623.57,3984808.04,-695.91
428618.96,3984784.37,-739.71
428614.36,3984760.69,-783.50
428609.75,3984737.01,-827.30
428605.15,3984713.33,-871.10
428600.54,3984689.65,-914.90
428689.56,3984981.80,-283.05
428684.96,3984958.12,-326.85
428680.35,3984934.44,-370.64
428675.75,3984910.76,-414.44
428671.14,3984887.09,-458.24
428666.54,3984863.41,-502.03
428661.93,3984839.73,-545.83
428657.33,3984816.05,-589.63
428652.72,3984792.38,-633.42
428648.12,3984768.70,-677.22
428643.51,3984745.02,-721.02
428638.91,3984721.34,-764.81
428634.30,3984697.66,-808.61
428629.69,3984673.99,-852.41
428625.09,3984650.31,-896.20
428714.11,3984942.45,-264.36
428709.51,3984918.77,-308.16
428704.90,3984895.10,-351.95
428700.29,3984871.42,-395.75
428695.69,3984847.74,-439.55
428691.08,3984824.06,-483.34
428686.48,3984800.39,-527.14
428681.87,3984776.71,-570.94
428677.27,3984753.03,-614.73
428672.66,3984729.35,-658.53
428668.06,3984705.67,-702.33
428663.45,3984682.00,-746.12
428658.85,3984658.32,-789.92
428654.24,3984634.64,-833.72
428649.64,3984610.96,-877.51
428738.66,3984903.11,-245.67
428734.05,3984879.43,-289.47
428729.45,3984855.75,-333.26
428724.84,3984832.07,-377.06
428720.24,3984808.40,-420.86
428715.63,3984784.72,-464.65
428711.03,3984761.04,-508.45
428706.42,3984737.36,-552.25
428701.82,3984713.68,-596.04
428697.21,3984690.01,-639.84
428692.60,3984666.33,-683.64
428688.00,3984642.65,-727.43
428683.39,3984618.97,-771.23
428678.79,3984595.29,-815.03
428674.18,3984571.62,-858.82
428763.20,3984863.76,-226.98
428758.60,3984840.08,-270.78
428753.99,3984816.40,-314.57
428749.39,3984792.73,-358.37
428744.78,3984769.05,-402.17
428740.18,3984745.37,-445.96
428735.57,3984721.69,-489.76
428730.97,3984698.02,-533.56
428726.36,3984674.34,-577.35
428721.76,3984650.66,-621.15
428717.15,3984626.98,-664.95
428712.55,3984603.30,-708.74
428707.94,3984579.63,-752.54
428703.34,3984555.95,-796.34
428698.73,3984532.27,-840.13
428787.75,3984824.41,-208.29
428783.15,3984800.74,-252.09
428778.54,3984777.06,-295.88
428773.94,3984753.38,-339.68
428769.33,3984729.70,-383.48
428764.73,3984706.03,-427.27
428760.12,3984682.35,-471.07
428755.51,3984658.67,-514.87
428750.91,3984634.99,-558.66
428746.30,3984611.31,-602.46
428741.70,3984587.64,-646.26
428737.09,3984563.96,-690.05
428732.49,3984540.28,-733.85
428727.88,3984516.60,-777.65
428723.28,3984492.92,-821.44
428812.30,3984785.07,-189.60
428807.69,3984761.39,-233.39
428803.09,3984737.71,-277.19
428798.48,3984714.03,-320.99
428793.88,3984690.36,-364.79
428789.27,3984666.68,-408.58
428784.67,3984643.00,-452.38
428780.06,3984619.32,-496.18
428775.46,3984595.65,-539.97
428770.85,3984571.97,-583.77
428766.25,3984548.29,-627.57
428761.64,3984524.61,-671.36
428757.04,3984500.93,-715.16
428752.43,3984477.26,-758.96
428747.82,3984453.58,-802.75
428836.85,3984745.72,-170.91
428832.24,3984722.04,-214.70
428827.64,3984698.37,-258.50
428823.03,3984674.69,-302.30
428818.42,3984651.01,-346.09
428813.82,3984627.33,-389.89
428809.21,3984603.66,-433.69
428804.61,3984579.98,-477.48
428800.00,3984556.30,-521.28
428795.40,3984532.62,-565.08
428790.79,3984508.94,-608.87
428786.19,3984485.27,-652.67
428781.58,3984461.59,-696.47
428776.98,3984437.91,-740.27
428772.37,3984414.23,-784.06
428861.39,3984706.38,-152.22
428856.79,3984682.70,-196.01
428852.18,3984659.02,-239.81
428847.58,3984635.34,-283.61
428842.97,3984611.67,-327.40
428838.37,3984587.99,-371.20
428833.76,3984564.31,-415.00
428829.16,3984540.63,-458.79
428824.55,3984516.95,-502.59
428819.95,3984493.28,-546.39
428815.34,3984469.60,-590.18
428810.73,3984445.92,-633.98
428806.13,3984422.24,-677.78
428801.52,3984398.56,-721.57
428796.92,3984374.89,-765.37
428885.94,3984667.03,-133.53
428881.33,3984643.35,-177.32
428876.73,3984619.67,-221.12
428872.12,3984596.00,-264.92
428867.52,3984572.32,-308.71
428862.91,3984548.64,-352.51
428858.31,3984524.96,-396.31
428853.70,3984501.29,-440.10
428849.10,3984477.61,-483.90
428844.49,3984453.93,-527.70
428839.89,3984430.25,-571.49
428835.28,3984406.57,-615.29
428830.68,3984382.90,-659.09
428826.07,3984359.22,-702.88
428821.47,3984335.54,-746.68
428910.49,3984627.68,-114.84
428905.88,3984604.01,-158.63
428901.28,3984580.33,-202.43
428896.67,3984556.65,-246.23
428892.07,3984532.97,-290.02
428887.46,3984509.30,-333.82
428882.86,3984485.62,-377.62
428878.25,3984461.94,-421.41
428873.64,3984438.26,-465.21
428869.04,3984414.58,-509.01
428864.43,3984390.91,-552.80
428859.83,3984367.23,-596.60
