x,y,z
428707.63,3984238.17,-554.14
428667.74,3984220.96,-578.90
428627.86,3984203.75,-603.66
428587.98,3984186.54,-628.43
428735.45,3984233.02,-595.36
428695.56,3984215.81,-620.12
428655.68,3984198.60,-644.89
428615.80,3984181.39,-669.65
428763.27,3984227.87,-636.59
428723.39,3984210.66,-661.35
428683.50,3984193.45,-686.11
428643.62,3984176.24,-710.88
428791.09,3984222.72,-677.81
428751.21,3984205.51,-702.57
428711.32,3984188.30,-727.34
428671.44,3984171.09,-752.10
428818.91,3984217.57,-719.04
428779.03,3984200.36,-743.80
428739.14,3984183.15,-768.56
428699.26,3984165.94,-793.33
428846.73,3984212.42,-760.26
428806.85,3984195.21,-785.02
428766.97,3984178.00,-809.79
428727.08,3984160.79,-834.55
428874.55,3984207.27,-801.49
428834.67,3984190.06,-826.25
428794.79,3984172.85,-851.01
428754.90,3984155.64,-875.78
428902.37,3984202.12,-842.71
428862.49,3984184.91,-867.47
428822.61,3984167.70,-892.24
428782.72,3984150.49,-917.00
428930.19,3984196.97,-883.94
428890.31,3984179.76,-908.70
428850.43,3984162.55,-933.46
428810.55,3984145.34,-958.23
428958.01,3984191.82,-925.16
428918.13,3984174.61,-949.92
428878.25,3984157.40,-974.69
428838.37,3984140.19,-999.45
428985.83,3984186.67,-966.39
428945.95,3984169.46,-991.15
428906.07,3984152.25,-1015.91
428866.19,3984135.04,-1040.68
429013.65,3984181.52,-1007.61
428973.77,3984164.31,-1032.37
428933.89,3984147.10,-1057.14
428894.01,3984129.89,-1081.90
429041.47,3984176.37,-1048.84
429001.59,3984159.16,-1073.60
428961.71,3984141.95,-1098.36
428921.83,3984124.74,-1123.13
429069.29,3984171.22,-1090.06
429029.41,3984154.01,-1114.82
428989.53,3984136.80,-1139.59
428949.65,3984119.59,-1164.35
429097.11,3984166.07,-1131.29
429057.23,3984148.86,-1156.05
429017.35,3984131.65,-1180.81
428977.47,3984114.44,-1205.58
429124.93,3984160.92,-1172.51
429085.05,3984143.71,-1197.27
429045.17,3984126.50,-1222.04
429005.29,3984109.29,-1246.80
429152.75,3984155.77,-1213.74
429112.87,3984138.56,-1238.50
429072.99,3984121.35,-1263.26
429033.11,3984104.14,-1288.03
429180.57,3984150.62,-1254.96
429140.69,3984133.41,-1279.72
429100.81,3984116.20,-1304.49
429060.93,3984098.99,-1329.25
429208.40,3984145.47,-1296.19
429168.51,3984128.26,-1320.95
429128.63,3984111.05,-1345.71
429088.75,3984093.84,-1370.48
