x,y,z
429056.23,3984618.66,-517.53
429079.45,3984574.41,-515.82
429058.44,3984617.89,-567.47
429081.66,3984573.64,-565.76
429060.65,3984617.12,-617.42
429083.87,3984572.87,-615.71
429062.86,3984616.34,-667.36
429086.07,3984572.09,-665.65
429065.06,3984615.57,-717.31
429088.28,3984571.32,-715.60
429067.27,3984614.80,-767.26
429090.49,3984570.55,-765.55
429069.48,3984614.03,-817.20
429092.70,3984569.78,-815.49
429071.69,3984613.26,-867.15
429094.90,3984569.01,-865.44
429073.89,3984612.49,-917.09
429097.11,3984568.24,-915.38
429076.10,3984611.71,-967.04
429099.32,3984567.47,-965.33
429078.31,3984610.94,-1016.98
429101.53,3984566.69,-1015.27
429080.52,3984610.17,-1066.93
429103.74,3984565.92,-1065.22
429082.73,3984609.40,-1116.87
429105.94,3984565.15,-1115.16
429084.93,3984608.63,-1166.82
429108.15,3984564.38,-1165.11
429087.14,3984607.86,-1216.76
429110.36,3984563.61,-1215.05
