x,y,z
427924.06,3984488.70,-1061.75
427926.12,3984487.05,-1011.82
427928.19,3984485.41,-961.89
427930.25,3984483.76,-911.96
427932.31,3984482.12,-862.03
427934.37,3984480.47,-812.10
427936.44,3984478.83,-762.17
427938.50,3984477.18,-712.24
427940.56,3984475.54,-662.31
427942.62,3984473.89,-612.38
427944.69,3984472.25,-562.45
427924.17,3984538.67,-1060.11
427926.23,3984537.03,-1010.18
427928.29,3984535.38,-960.25
427930.36,3984533.74,-910.32
427932.42,3984532.09,-860.39
427934.48,3984530.45,-810.45
427936.54,3984528.80,-760.52
427938.61,3984527.16,-710.59
427940.67,3984525.51,-660.66
427942.73,3984523.86,-610.73
427944.80,3984522.22,-560.80
427924.28,3984588.65,-1058.46
427926.34,3984587.00,-1008.53
427928.40,3984585.35,-958.60
427930.46,3984583.71,-908.67
427932.53,3984582.06,-858.74
427934.59,3984580.42,-808.81
427936.65,3984578.77,-758.88
427938.72,3984577.13,-708.95
427940.78,3984575.48,-659.02
427942.84,3984573.84,-609.09
427944.90,3984572.19,-559.16
427924.39,3984638.62,-1056.82
427926.45,3984636.97,-1006.89
427928.51,3984635.33,-956.96
427930.57,3984633.68,-907.03
427932.64,3984632.04,-857.10
427934.70,3984630.39,-807.17
427936.76,3984628.75,-757.24
427938.82,3984627.10,-707.31
427940.89,3984625.46,-657.38
427942.95,3984623.81,-607.45
427945.01,3984622.17,-557.52
427924.49,3984688.59,-1055.18
427926.56,3984686.95,-1005.25
427928.62,3984685.30,-955.32
427930.68,3984683.66,-905.39
427932.74,3984682.01,-855.46
427934.81,3984680.36,-805.53
427936.87,3984678.72,-755.60
427938.93,3984677.07,-705.67
427941.00,3984675.43,-655.74
427943.06,3984673.78,-605.81
427945.12,3984672.14,-555.88
427924.60,3984738.56,-1053.54
427926.66,3984736.92,-1003.61
427928.73,3984735.27,-953.68
427930.79,3984733.63,-903.75
427932.85,3984731.98,-853.82
427934.92,3984730.34,-803.89
427936.98,3984728.69,-753.96
427939.04,3984727.05,-704.02
427941.10,3984725.40,-654.09
427943.17,3984723.76,-604.16
427945.23,3984722.11,-554.23
427924.71,3984788.54,-1051.90
427926.77,3984786.89,-1001.96
427928.84,3984785.25,-952.03
427930.90,3984783.60,-902.10
427932.96,3984781.96,-852.17
427935.02,3984780.31,-802.24
427937.09,3984778.67,-752.31
427939.15,3984777.02,-702.38
427941.21,3984775.37,-652.45
427943.28,3984773.73,-602.52
427945.34,3984772.08,-552.59
427924.82,3984838.51,-1050.25
427926.88,3984836.86,-1000.32
427928.94,3984835.22,-950.39
427931.01,3984833.57,-900.46
427933.07,3984831.93,-850.53
427935.13,3984830.28,-800.60
427937.20,3984828.64,-750.67
427939.26,3984826.99,-700.74
427941.32,3984825.35,-650.81
427943.38,3984823.70,-600.88
427945.45,3984822.06,-550.95
427924.93,3984888.48,-1048.61
427926.99,3984886.84,-998.68
427929.05,3984885.19,-948.75
427931.12,3984883.55,-898.82
427933.18,3984881.90,-848.89
427935.24,3984880.26,-798.96
427937.30,3984878.61,-749.03
427939.37,3984876.97,-699.10
427941.43,3984875.32,-649.17
427943.49,3984873.67,-599.24
427945.56,3984872.03,-549.31
427925.04,3984938.46,-1046.97
427927.10,3984936.81,-997.04
427929.16,3984935.17,-947.11
427931.22,3984933.52,-897.18
427933.29,3984931.87,-847.25
427935.35,3984930.23,-797.32
427937.41,3984928.58,-747.39
427939.48,3984926.94,-697.46
427941.54,3984925.29,-647.53
427943.60,3984923.65,-597.60
427945.66,3984922.00,-547.66
427925.14,3984988.43,-1045.33
427927.21,3984986.78,-995.40
427929.27,3984985.14,-945.47
427931.33,3984983.49,-895.53
427933.40,3984981.85,-845.60
427935.46,3984980.20,-795.67
427937.52,3984978.56,-745.74
