x,y,z
428901.49,3984555.73,-490.51
428906.98,3984508.68,-474.52
428912.47,3984461.63,-458.52
428855.05,3984556.61,-472.00
428860.54,3984509.56,-456.01
428866.03,3984462.50,-440.01
428808.61,3984557.49,-453.49
428814.10,3984510.43,-437.50
428819.59,3984463.38,-421.50
428762.17,3984558.36,-434.98
428767.66,3984511.31,-418.99
428773.15,3984464.26,-402.99
428715.73,3984559.24,-416.47
428721.22,3984512.19,-400.47
428726.71,3984465.13,-384.48
428669.29,3984560.12,-397.96
428674.78,3984513.06,-381.96
428680.27,3984466.01,-365.97
428622.85,3984560.99,-379.45
428628.34,3984513.94,-363.45
428633.83,3984466.89,-347.46
428576.41,3984561.87,-360.94
428581.90,3984514.82,-344.94
428587.39,3984467.76,-328.95
428529.98,3984562.74,-342.43
428535.46,3984515.69,-326.43
428540.95,3984468.64,-310.44
428483.54,3984563.62,-323.92
428489.02,3984516.57,-307.92
428494.51,3984469.52,-291.93
