x,y,z
428102.12,3985506.98,-482.14
428078.58,3985475.92,-513.46
428055.04,3985444.86,-544.78
428031.49,3985413.80,-576.10
428007.95,3985382.74,-607.42
427984.41,3985351.67,-638.74
427960.87,3985320.61,-670.06
427937.33,3985289.55,-701.38
427913.79,3985258.49,-732.70
427890.25,3985227.42,-764.02
427866.70,3985196.36,-795.34
427843.16,3985165.30,-826.66
427819.62,3985134.24,-857.98
428118.37,3985467.87,-455.56
428094.83,3985436.81,-486.89
428071.29,3985405.75,-518.21
428047.75,3985374.69,-549.53
428024.20,3985343.62,-580.85
428000.66,3985312.56,-612.17
427977.12,3985281.50,-643.49
427953.58,3985250.44,-674.81
427930.04,3985219.38,-706.13
427906.50,3985188.31,-737.45
427882.96,3985157.25,-768.77
427859.42,3985126.19,-800.09
427835.87,3985095.13,-831.41
428134.62,3985428.76,-428.99
428111.08,3985397.70,-460.31
428087.54,3985366.64,-491.63
428064.00,3985335.57,-522.95
428040.46,3985304.51,-554.27
428016.92,3985273.45,-585.59
427993.37,3985242.39,-616.91
427969.83,3985211.33,-648.23
427946.29,3985180.26,-679.55
427922.75,3985149.20,-710.87
427899.21,3985118.14,-742.19
427875.67,3985087.08,-773.51
427852.13,3985056.02,-804.83
428150.87,3985389.65,-402.42
428127.33,3985358.59,-433.74
428103.79,3985327.52,-465.06
428080.25,3985296.46,-496.38
428056.71,3985265.40,-527.70
428033.17,3985234.34,-559.02
428009.63,3985203.28,-590.34
427986.09,3985172.21,-621.66
427962.54,3985141.15,-652.98
427939.00,3985110.09,-684.30
427915.46,3985079.03,-715.62
427891.92,3985047.97,-746.94
427868.38,3985016.90,-778.26
428167.13,3985350.54,-375.84
428143.59,3985319.48,-407.17
428120.04,3985288.41,-438.49
428096.50,3985257.35,-469.81
428072.96,3985226.29,-501.13
428049.42,3985195.23,-532.45
428025.88,3985164.16,-563.77
428002.34,3985133.10,-595.09
427978.80,3985102.04,-626.41
427955.26,3985070.98,-657.73
427931.71,3985039.92,-689.05
427908.17,3985008.85,-720.37
427884.63,3984977.79,-751.69
428183.38,3985311.43,-349.27
428159.84,3985280.36,-380.59
428136.30,3985249.30,-411.91
428112.76,3985218.24,-443.23
428089.21,3985187.18,-474.55
428065.67,3985156.12,-505.87
428042.13,3985125.05,-537.19
428018.59,3985093.99,-568.51
427995.05,3985062.93,-599.83
427971.51,3985031.87,-631.15
427947.97,3985000.81,-662.47
427924.43,3984969.74,-693.79
427900.88,3984938.68,-725.11
428199.63,3985272.31,-322.70
428176.09,3985241.25,-354.02
428152.55,3985210.19,-385.34
428129.01,3985179.13,-416.66
428105.47,3985148.07,-447.98
428081.93,3985117.00,-479.30
428058.38,3985085.94,-510.62
428034.84,3985054.88,-541.94
428011.30,3985023.82,-573.26
427987.76,3984992.76,-604.58
427964.22,3984961.69,-635.90
427940.68,3984930.63,-667.22
427917.14,3984899.57,-698.54
428215.88,3985233.20,-296.12
428192.34,3985202.14,-327.44
428168.80,3985171.08,-358.77
428145.26,3985140.02,-390.09
428121.72,3985108.95,-421.41
428098.18,3985077.89,-452.73
428074.64,3985046.83,-484.05
428051.10,3985015.77,-515.37
428027.55,3984984.71,-546.69
428004.01,3984953.64,-578.01
427980.47,3984922.58,-609.33
427956.93,3984891.52,-640.65
427933.39,3984860.46,-671.97
428232.14,3985194.09,-269.55
428208.60,3985163.03,-300.87
428185.05,3985131.97,-332.19
428161.51,3985100.90,-363.51
428137.97,3985069.84,-394.83
428114.43,3985038.78,-426.15
428090.89,3985007.72,-457.47
428067.35,3984976.66,-488.79
428043.81,3984945.59,-520.11
428020.27,3984914.53,-551.43
427996.72,3984883.47,-582.75
427973.18,3984852.41,-614.07
427949.64,3984821.35,-645.39
428248.39,3985154.98,-242.98
428224.85,3985123.92,-274.30
428201.31,3985092.86,-305.62
428177.77,3985061.79,-336.94
428154.22,3985030.73,-368.26
428130.68,3984999.67,-399.58
428107.14,3984968.61,-430.90
428083.60,3984937.54,-462.22
428060.06,3984906.48,-493.54
428036.52,3984875.42,-524.86
428012.98,3984844.36,-556.18
427989.44,3984813.30,-587.50
427965.89,3984782.23,-618.82
428264.64,3985115.87,-216.40
428241.10,3985084.81,-247.72
428217.56,3985053.74,-279.05
428194.02,3985022.68,-310.37
428170.48,3984991.62,-341.69
428146.94,3984960.56,-373.01
428123.39,3984929.50,-404.33
428099.85,3984898.43,-435.65
428076.31,3984867.37,-466.97
428052.77,3984836.31,-498.29
428029.23,3984805.25,-529.61
428005.69,3984774.19,-560.93
427982.15,3984743.12,-592.25
428280.89,3985076.76,-189.83
428257.35,3985045.69,-221.15
428233.81,3985014.63,-252.47
428210.27,3984983.57,-283.79
428186.73,3984952.51,-315.11
428163.19,3984921.45,-346.43
428139.65,3984890.38,-377.75
428116.11,3984859.32,-409.07
428092.56,3984828.26,-440.39
428069.02,3984797.20,-471.71
428045.48,3984766.14,-503.03
428021.94,3984735.07,-534.35
427998.40,3984704.01,-565.67
428297.15,3985037.64,-163.26
428273.61,3985006.58,-194.58
428250.06,3984975.52,-225.90
428226.52,3984944.46,-257.22
428202.98,3984913.40,-288.54
428179.44,3984882.33,-319.86
428155.90,3984851.27,-351.18
428132.36,3984820.21,-382.50
428108.82,3984789.15,-413.82
428085.28,3984758.09,-445.14
428061.73,3984727.02,-476.46
428038.19,3984695.96,-507.78
428014.65,3984664.90,-539.10
428313.40,3984998.53,-136.68
428289.86,3984967.47,-168.00
428266.32,3984936.41,-199.32
428242.78,3984905.35,-230.65
428219.23,3984874.28,-261.97
428195.69,3984843.22,-293.29
428172.15,3984812.16,-324.61
428148.61,3984781.10,-355.93
428125.07,3984750.04,-387.25
428101.53,3984718.97,-418.57
428077.99,3984687.91,-449.89
428054.44,3984656.85,-481.21
428030.90,3984625.79,-512.53
428329.65,3984959.42,-110.11
428306.11,3984928.36,-141.43
428282.57,3984897.30,-172.75
428259.03,3984866.24,-204.07
428235.49,3984835.17,-235.39
